"Model","[RuleValue]","[Count]","[Percent]","[WeightedAverage]","[MeasureFactor]","[DisplayScore]"
"Utility","__TOTAL__","19760","1","0.932317813765187","0.909880134750455","93.887458736313"
"Utility","133001","2528","0.127935222672065","0.932317813765187","0.909880134750455","93.887458736313"
"Utility","133002","","","0.932317813765187","0.909880134750455","93.887458736313"
"Utility","133003","16668","0.843522267206478","0.932317813765187","0.909880134750455","93.887458736313"
"Utility","133004","564","0.0285425101214575","0.932317813765187","0.909880134750455","93.887458736313"
"Utility","blank / other","","","0.932317813765187","0.909880134750455","93.887458736313"
"ADE","__TOTAL__","19540","1","0.899732343909932","0.899732343909932","90.9289130529535"
"ADE","133001","4893","0.250409416581372","0.899732343909932","0.899732343909932","90.9289130529535"
"ADE","133002","","","0.899732343909932","0.899732343909932","90.9289130529535"
"ADE","133003","14175","0.725435005117707","0.899732343909932","0.899732343909932","90.9289130529535"
"ADE","133004","472","0.0241555783009212","0.899732343909932","0.899732343909932","90.9289130529535"
"ADE","blank / other","","","0.899732343909932","0.899732343909932","90.9289130529535"
"ADE","__TOTAL__","34785","1","0.931046140577823","0.931046140577823",""
"ADE","133001","4713","0.135489435101337","0.931046140577823","0.931046140577823",""
"ADE","133002","","","0.931046140577823","0.931046140577823",""
"ADE","133003","29322","0.842949547218629","0.931046140577823","0.931046140577823",""
"ADE","133004","750","0.0215610176800345","0.931046140577823","0.931046140577823",""
"ADE","blank / other","","","0.931046140577823","0.931046140577823",""
