"[RowLabel]","[MeasurePath]","[Value]"
"Utility Insight Readiness","metadata_ai_scores[meas.average_ai_score]","82.2988278371009"
"Utility Segmentation & SAM","metadata_ai_scores[meas.average_ai_score] + metadata_ai_scores_analysis_categories[category_name='Segmentation and SAM Analysis']","0"
"Utility Product Mix","metadata_ai_scores[meas.average_ai_score] + metadata_ai_scores_analysis_categories[category_name='Product Analysis']","0"
"Utility Pipeline","metadata_ai_scores[meas.average_ai_score] + metadata_ai_scores_analysis_categories[category_name='Opportunity and Pipeline Analysis']","0"
"Utility Rep Performance","metadata_ai_scores[meas.average_ai_score] + metadata_ai_scores_analysis_categories[category_name='Rep Performance Analysis']","44.6153847357402"
"Utility Rep Skills & Behaviors","metadata_ai_scores[meas.average_ai_score] + metadata_ai_scores_analysis_categories[category_name='Rep Skills and Behaviors Analysis']","81.3851026077036"
"Utility Calibration","metadata_ai_scores[meas.average_ai_score] + metadata_ai_scores_analysis_categories[category_name='Calibration Analysis']","0"
"ADE Insight Readiness","metadata_ai_scores[meas.readiness_average_ai_score]","82.3232680080114"
"ADE Summary Insights Readiness","metadata_ai_scores[meas.readiness_average_ai_score]","82.3232680080114"
"ADE Segmentation & SAM","metadata_ai_scores[meas.readiness_average_ai_score] + metadata_ai_scores_analysis_categories[category_name='Segmentation and SAM Analysis']","0"
"ADE Product Mix","metadata_ai_scores[meas.readiness_average_ai_score] + metadata_ai_scores_analysis_categories[category_name='Product Analysis']","0"
"ADE Pipeline","metadata_ai_scores[meas.readiness_average_ai_score] + metadata_ai_scores_analysis_categories[category_name='Opportunity and Pipeline Analysis']","0"
"ADE Rep Performance","metadata_ai_scores[meas.readiness_average_ai_score] + metadata_ai_scores_analysis_categories[category_name='Rep Performance Analysis']","44.5"
"ADE Rep Skills & Behaviors","metadata_ai_scores[meas.readiness_average_ai_score] + metadata_ai_scores_analysis_categories[category_name='Rep Skills and Behaviors Analysis']","84.5025949512984"
"ADE Calibration","metadata_ai_scores[meas.readiness_average_ai_score] + metadata_ai_scores_analysis_categories[category_name='Calibration Analysis']","0"
